"","X","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","slope_OSLR_max.to.NA","intercept_OSLR_max.to.NA","p_value_olsr","r.square.olsr","N.bins.used","x.value.of.maximum","rob_reg__slope","rob_reg_intercept","slope_ratio_OLSR_RR"
"1","300","#REF!","M153","22","","2019-02-26",16.41537,-29.9987,"zooplankton",3,"Multinet","multiple opening-closing devices",0.001,0.1,NA,NA,180,NA,"inferred from particle area (formalin-preserved)","Tim Dudeck",NA,"",15.089544,2787.29443,34.011971,5.045695,8.210938,0.217583,4,6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.6298792,4.072065701,53.80679148,139.0642077,121.3796374,115.0561461,64.30584199,18.10123238,14.17553315,3.385768949,5.767581235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.235073939,"","zooplankton","zooplankton",3,NA,"dodgerblue","zooplankton",-1.235073939,-0.8195469457222,-1.36270588827341,0.000282837393461771,0.904465647470974,8,3.05e-05,-0.8195469457222,-1.36270588827341,1
"6","313","#REF!","M153","36","","2019-03-05",11.99897,-22.3394,"zooplankton",3,"Multinet","multiple opening-closing devices",0.001,0.1,NA,NA,200,NA,"inferred from particle area (formalin-preserved)","Tim Dudeck",NA,"",18,1598.83814,35,5,8.193611,0.107203,4,5.610618,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.6443237,51.50897725,23.84660574,349.5243853,502.1839437,202.9585498,348.2250463,32.4720043,78.20212487,5.035438035,9.396254073,18.72239868,2.253028849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.311022613,"","zooplankton","zooplankton",3,NA,"dodgerblue","zooplankton",-1.311022613,-0.910378018635358,-1.43078523897886,0.000913412236692907,0.811684328871966,9,3.05e-05,-0.777515705214183,-0.798036418857102,0.989297476457203
"8","319","#REF!","M153","39_5","","2019-03-08",12.0003,-21.01,"zooplankton",3,"Multinet","multiple opening-closing devices",0.001,0.1,NA,NA,200,NA,"inferred from particle area (formalin-preserved)","Tim Dudeck",NA,"",18,1795.0603,35,5,8.194131,0.15704,4.092657,5.929643,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.583691264,6.110262067,54.75816545,475.0099108,1321.77637,185.6559718,117.037538,37.3848859,24.21502063,24.79337505,7.638149759,5.813497856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.846444692,"","zooplankton","zooplankton",3,NA,"dodgerblue","zooplankton",-0.846444692,-1.01364272846755,-1.82712309204393,0.000135090134704666,0.925115034292176,8,3.05e-05,-0.46465909658538,-0.392902336059128,1.16984877946988
"9","322","#REF!","M153","42","","2019-03-08",13.38208,-21.0023,"zooplankton",3,"Multinet","multiple opening-closing devices",0.001,0.1,NA,NA,70,NA,"inferred from particle area (formalin-preserved)","Tim Dudeck",NA,"",16,2709.45972,35,5,8.195023,0.305506,5,7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.15623629,377.9138994,2314.687089,4108.375981,9559.329597,4033.483188,621.2179211,353.708026,295.8648712,161.3208813,10.33386829,12.56943639,13.09234378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0579873,"","zooplankton","zooplankton",3,NA,"dodgerblue","zooplankton",-1.0579873,-1.26640106828509,-3.02193613457794,2.55892214501331e-05,0.931173214754243,9,3.81e-06,-0.950821286424375,-1.63800896308416,1.06607071480217
"10","325","#REF!","M153","46","","2019-03-10",11.41647,-20.0054,"zooplankton",3,"Multinet","multiple opening-closing devices",0.001,0.1,NA,NA,200,NA,"inferred from particle area (formalin-preserved)","Tim Dudeck",NA,"",18,1804.52124,35,5,8.195,0.148677,5,5,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.733738218,4.166746155,11.60755719,29.66094944,159.2038611,433.1139241,100.4470961,111.783497,43.28831582,56.19458253,44.17309369,27.7962893,NA,2.116388964,5.12737062,2.650287664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.398487218,"","zooplankton","zooplankton",3,NA,"dodgerblue","zooplankton",-0.398487218,-0.544447719100434,-0.0865216198565229,0.00633384679263583,0.802769243414302,7,3.05e-05,-1.2388222468954,-2.87802555202839,1.0222621295822
"11","326","#REF!","M153","48","","2019-03-10",12.41765,-21.6761,"zooplankton",3,"Multinet","multiple opening-closing devices",0.001,0.1,NA,NA,200,NA,"inferred from particle area (formalin-preserved)","Tim Dudeck",NA,"",17.186073,1954.88501,35,5,8.194,0.153462,4,6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.568408295,2.83823152,4.302000049,33.0134351,100.0438729,38.5237222,19.00203304,7.869274291,20.56992681,11.04831472,7.362874001,5.752484775,3.084719866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22454747,"","zooplankton","zooplankton",3,NA,"dodgerblue","zooplankton",-0.22454747,-0.509149604089879,-0.548990253558223,0.000636835205029465,0.829722208030453,9,3.05e-05,-0.628186838765273,0.460198547110262,1.12637058858514
"19","1063","#REF!","RAPROCAN1810","12","","10/01/2018",-14.3755,28.9392,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",12.117981754386,"day",20,444.81192,36,5,8.207281,0.036217,0,1,23.04,19.02,36.5,NA,0.18,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35449632038055,1.28315839484959,6.86693912033715,40.2332944288779,127.248486574797,123.136388036167,84.0948464995784,44.293208267085,20.3075239031303,8.30337118720217,3.71306956417999,1.53546092714243,0.694882498077627,0.294759001538914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.210348431,"","zooplankton","zooplankton",3,0.0718820073061254,"dodgerblue","zooplankton",-1.210348431,-1.04237664233002,-3.54384283370478,8.06283720751834e-08,0.976751888109043,10,1.91e-06,-0.991450041872956,-3.31328183443046,0.99932452411714
"20","1064","#REF!","RAPROCAN1810","10","","10/01/2018",-13.7052,28.8022,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",16.2984095238095,"day",20,520,36,5,8.202994,0.040719,0,1,22.28,17.75,36.36,NA,0.26,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106725544915578,0.359680986534927,0.83759286373328,9.28541648059103,47.886520212934,121.107597742769,112.808099770896,61.4133964816012,30.5637114314069,19.0276809922255,10.085313629282,5.10104609963518,2.8558365386915,1.68666737817076,1.09530525278636,0.30066069541386,0.325987672683931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.95485292,"","zooplankton","zooplankton",3,0.100370545117563,"dodgerblue","zooplankton",-0.95485292,-0.844941544715759,-2.59097645927302,3.09072615158881e-11,0.989542886963448,12,1.91e-06,-1.01992144581783,-3.38535853788442,1.0130402810417
"21","1065","#REF!","RAPROCAN1810","7","","10/01/2018",-13.2063,28.7092,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",10.9165987678855,"day",20,534,36,5,8.199532,0.044321,0,1,22.93,18.75,36.42,NA,0.23,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454585319890231,0.538745864706714,0.40768052612773,1.14739695577974,15.5824523079219,85.5682410270318,217.232963493172,157.717315836274,88.5305709384121,52.5674943540375,25.6661901837295,12.9148591387083,6.37338274793979,2.05827285399809,1.98835840734456,0.67037856231543,0.677877363722473,0.482357475452824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.808238215,"","zooplankton","zooplankton",3,0.0899051114393979,"dodgerblue","zooplankton",-0.808238215,-0.883302743633033,-2.63295692354316,2.7628299969832e-10,0.983802039869902,12,1.91e-06,-0.980114857307965,-3.158523536876,0.992863240471408
"22","1066","#REF!","RAPROCAN1810","108","","10/01/2018",-14.0487,27.5237,"zooplankton",3,"WP-2","",NA,NA,200,NA,200,NA,"Estimated from Biovolume","S.Her�ndez-Le�n / JM. Landeira",12.6547,"day",20,779.303955,36,5,8.196212,0.053929,0,1,21.86,18.65,36.07,NA,0.23,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137429290153328,1.42988216656068,10.6306497605234,55.8168231383792,158.704394858278,132.835222082035,77.9728283910498,34.5295468242346,16.4683407458125,7.67105672261524,1.95899139297541,1.20067248979839,0.689278243114091,0.155998077094794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1748254,"","zooplankton","zooplankton",3,0.0899051114393979,"dodgerblue","zooplankton",-1.1748254,-1.13154406551265,-4.01324039386662,3.72137368114921e-08,0.980830009426491,10,1.91e-06,-0.92931126847536,-3.07157423707459,1.01931130561233
