"","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","new_slopes"
"371","#REF!","Abra�os 2","1","","2017-04-09",-34.7962,-8.6668667,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,2,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,348.236938,36,"4",8.141966,0.03294,1,2,28.69,28.69,37.28,NA,0.17,0.2,"gC m-3",6.47e+10,2.62e+10,1.2e+09,6.5e+07,NA,NA,NA,6690,NA,29500,439,2000,4060,13200,50800,2640,1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.550437065,"","Phytoplankton","phytoplankton","4",0.0681858617461616,"forestgreen","phytoplankton",-1.550437065,""
"372","#REF!","Abra�os 2","3","","2017-04-10",-35.3939643,-9.4027203,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,2,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,426.097382,36,"4",8.122251,0.070924,0.759154,2,29.28,29.28,37.55,NA,0.89,0.2,"gC m-3",NA,1.66e+11,1.86e+09,5.66e+08,NA,NA,NA,2230,518,50200,NA,NA,1480,11900,1280000,1580,13700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.352339017,"","Phytoplankton","phytoplankton","4",0.276461804173244,"forestgreen","phytoplankton",-1.352339017,""
"373","#REF!","Abra�os 2","3","","2017-04-10",-35.3939643,-9.4027203,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,18,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,426.097382,36,"4",8.122251,0.070924,0.759154,2,29.28,29.29,37.55,NA,0.9,0.1,"gC m-3",NA,1.76e+11,1.48e+09,3.08e+08,NA,NA,NA,NA,NA,15700,NA,NA,1480,4390,16000000,11100,5860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3978393,"","Phytoplankton","phytoplankton","4",0.278753600952829,"forestgreen","phytoplankton",-1.3978393,""
"374","#REF!","Abra�os 2","4","","2017-04-10",-35.0762253,-9.2170272,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,32,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27.006147,418.506012,36,"4",8.130548,0.040607,1,2,NA,28.49,37.32,NA,0.2,0.1,"gC m-3",1.3e+11,4.42e+10,1.43e+09,2.89e+08,NA,NA,NA,1670,NA,8080,NA,NA,4810,28200,578,2110,12200,450,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.472437669,"","Phytoplankton","phytoplankton","4",0.0791812460476248,"forestgreen","phytoplankton",-1.472437669,""
"375","#REF!","Abra�os 2","5","","2017-04-10",-34.7656347,-9.2139792,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,310,36,"4",8.137017,0.02769,1,2,28.28,28.28,37.44,NA,0.11,0.4,"gC m-3",1.96e+11,5.64e+09,3.47e+08,2.71e+08,NA,NA,NA,6130,2070,28000,NA,NA,5190,22600,578,6840,11200,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.423498843,"","Phytoplankton","phytoplankton","4",0.0453229787866575,"forestgreen","phytoplankton",-1.423498843,""
"376","#REF!","Abra�os 2","5","","2017-04-10",-34.7656347,-9.2139792,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,91,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,310,36,"4",8.137017,0.02769,1,2,28.28,25.23,37.35,NA,0,0.3,"gC m-3",1.64e+11,NA,2.31e+09,1.27e+08,NA,NA,NA,1670,NA,18500,2650,800,2960,11300,6930,2110,12700,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.424286226,"","Phytoplankton","phytoplankton","4",0,"forestgreen","phytoplankton",-1.424286226,""
"377","#REF!","Abra�os 2","6","","2017-04-11",-34.5885628,-8.8556427,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,25,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,345.209808,36,"4",8.14369,0.027557,1,2,28.68,28.68,37.41,NA,0.15,0.3,"gC m-3",1.26e+11,1.59e+09,NA,5.24e+08,NA,NA,NA,1670,NA,14700,439,800,5920,32000,NA,13200,489,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4683979,"","Phytoplankton","phytoplankton","4",0.0606978403536116,"forestgreen","phytoplankton",-1.4683979,""
"378","#REF!","Abra�os 2","8","","2017-04-11",-34.8035905,-8.7131378,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,45,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,348.789246,36,"4",8.141239,0.033163,1,2,NA,27.4,37.37,NA,0.26,0.5,"gC m-3",1.42e+11,2.02e+10,1.83e+09,3.02e+08,NA,NA,NA,8360,2070,26100,881,1600,4810,29500,19700,4220,1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.591492943,"","Phytoplankton","phytoplankton","4",0.100370545117563,"forestgreen","phytoplankton",-1.591492943,""
"379","#REF!","Abra�os 2","13","","2017-04-13",-34.4590373,-8.3174062,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,326.084167,36,"4",8.153136,0.027206,1,2,28.3,28.3,37.44,NA,0.01,0.4,"gC m-3",2.12e+11,1.39e+09,3.12e+08,1.56e+08,NA,NA,NA,1110,NA,15700,881,400,2960,34400,NA,9520,4890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49638113,"","Phytoplankton","phytoplankton","4",0.00432137378264258,"forestgreen","phytoplankton",-1.49638113,""
"380","#REF!","Abra�os 2","13","","2017-04-13",-34.4590373,-8.3174062,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,99,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,326.084167,36,"4",8.153136,0.027206,1,2,28.3,24.84,37.34,NA,NA,0.4,"gC m-3",1.25e+11,NA,1.63e+09,1.92e+08,NA,NA,NA,5010,NA,12800,NA,NA,2960,20100,2310,10100,3900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.452937892,"","Phytoplankton","phytoplankton","4",NA,"forestgreen","phytoplankton",-1.452937892,""
